,,,role,target,hate_speech,verbal_abusehumor,
[2:43:13 PM], <Zoé-Victime>, merci axelle,victim,victim_support,no,none,no
[2:43:14 PM], <Natacha-Soutien-Harceleur>, ptdrrr alors si une grosse boule,bully_support,victim,yes,degradation,no
[2:43:25 PM], <Soan-Soutien-Victime>, ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,victim_support,bully_support,no,none,no
[2:43:26 PM], <Natacha-Soutien-Harceleur>, et mieux que nous crée ma tombe,bully_support,none,no,none,no
[2:43:27 PM], <Marjorie-Harceleur>, tt a fait tu as qua maigrir,bully,victim,yes,blaming,no
[2:43:27 PM], <Zoé-Victime>, je te roule dessus natacha,victim,bully_support,no,threat,no
[2:43:29 PM], <Natacha-Soutien-Harceleur>, svpppp!!!!,bully_support,none,no,none,no
[2:43:35 PM], <Lucie-Harceleur>, euuuuh y a pas mieux que nous en fait,bully,bully/bully_support,no,none,no
[2:44:06 PM], <Zoé-Victime>, pfff vous faites trop les meufs,victim,bully/bully_support,no,none,no
[2:44:11 PM], <Soan-Soutien-Victime>, mais ferme la ta  vu ta gueule,victim_support,bully,yes,degradation,no
[2:44:14 PM], <Marjorie-Harceleur>, tufait ta victime tu sais pas te defendre seul ,bully,victim,no,none,no
[2:44:16 PM], <Lucie-Harceleur>, natacha elle va mourir si tu lui roulle dessus t'as t'es 3 ptit klebs,bully,victim,no,degradation,no
[2:44:55 PM], <Natacha-Soutien-Harceleur>, :') :') :') :') :') ,bully_support,none,no,none,no
[2:45:01 PM], <Soan-Soutien-Victime>," Ne les écoutes pas Zoé,  le physique ne compte pas tu es très bien comme tu es. Le principale c'est que tu te sentes bien dans ton coeur",victim_support,victim,no,none,no
[2:45:02 PM], <Natacha-Soutien-Harceleur>, sa y est jsuis morte deja,bully,none,no,none,no
[2:45:30 PM], <Zoé-Victime>, merci de me dire ça,victim,victim_support,no,none,no
[2:45:30 PM], <Marjorie-Harceleur>, tant mieu,bully,none,no,none,no
[2:45:34 PM], <Soan-Soutien-Victime>," Elles sont juste immature de faire ca,  preuve que c'est des gamines",victim_support,bully/bully_support,no,none,no
[2:45:49 PM], <Marjorie-Harceleur>, tg elisa,bully,none,yes,name_calling,no
[2:45:54 PM], <Soan-Soutien-Victime>, zoé tu vaux mieux que sa ,victim_support,victim,no,none,no
[2:46:00 PM], <Natacha-Soutien-Harceleur>, c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,bully_support,victim,no,blaming,no
[2:46:15 PM], <Zoé-Victime>, bah normal vous avez envoyé des photos a tout le monde je prends pas des photos de vous dans les vestiaires moi,victim,bully/bully_support,no,none,no
[2:46:38 PM], <Soan-Soutien-Victime>, elle au moin  elle respect les gens ,victim_support,victim,no,none,no
[2:46:45 PM], <Lucie-Harceleur>, ouais maint tkt on te vois pas derrire tes bourllet,bully,victim,yes,degradation,no
[2:46:48 PM], <Soan-Soutien-Victime>, Tu as le droit de porter plainte tu sais,victim_support,victim,no,none,no
[2:46:52 PM], <Marjorie-Harceleur>, beh oui elle est venu nous parler elle cherche la merde cette grosse ,bully,victim,yes,blaming,no
[2:46:54 PM], <Soan-Soutien-Victime>, contrairrement a vous salle conne,victim_support,bully/bully_support,yes,name_calling,no
[2:47:01 PM], <Axelle-Soutien-Victime>, vous prenez des photos des gens sans leurs consentement vous êtes riducule ,victim_support,bully/bully_support,no,none,no
[2:47:02 PM], <Marjorie-Harceleur>, cava bouboule ?,bully,victim,yes,degradation,no
[2:47:06 PM], <Natacha-Soutien-Harceleur>, beh ta qua arreter de faire des photos sexy qui sont pas fait pour toi,bully_support,victim,no,blaming,no
[2:47:08 PM], <Soan-Soutien-Victime>, et toi ta vu ta gueule,victim_support,bully_support,yes,degradation,no
[2:47:17 PM], <Lucie-Harceleur>, :') :') :') :') sexyyyy tout le contraire de zoe,bully,bully_support,no,degradation,no
[2:47:45 PM], <Soan-Soutien-Victime>, mongolienne,victim_support,bully,yes,name_calling,no
[2:47:47 PM], <Marjorie-Harceleur>, oui je lau vu ne tkt pas,bully,victim_support,no,none,no
[2:47:55 PM], <Zoé-Victime>, j'ai des seins vous êtes des grosses jalouse vous avez rien vous,victim,bully/bully_support,no,none,no
[2:48:16 PM], <Lucie-Harceleur>, ah je croyais que s'etait des bourllets,bully,victim,yes,degradation,no
[2:48:19 PM], <Marjorie-Harceleur>, je suis 10 fois mieu foutu que elle bouffonne,bully,victim_support,yes,name_calling,no
[2:48:20 PM], <Soan-Soutien-Victime>, mais putin merde a la fin laissé la tranquille elle vous a rien fais,victim_support,bully/bully_support,no,none,no
[2:48:39 PM], <Axelle-Soutien-Victime>, vous avez pas de forme vous bande jalouse,victim_support,bully/bully_support,no,none,no
[2:48:44 PM], <Zoé-Victime>, c'est toi le bourlet lucie,victim,bully,yes,name_calling,no
[2:48:49 PM], <Soan-Soutien-Victime>, elle au moin elle est pas conne comme vous bande de poufiasse,victim_support,bully/bully_support,yes,degradation,no
[2:48:50 PM], <Natacha-Soutien-Harceleur>, jte fou un coup avec mes seins tu verras,bully_support,victim_support,no,threat,no
[2:48:50 PM], <Marjorie-Harceleur>, va retourner manger macdo avec tes 3 menu signature,bully,victim,yes,degradation,no
[2:49:02 PM], <Lucie-Harceleur>, ma pauvre moi je casse pas la balance ,bully,victim,yes,degradation,no
[2:49:19 PM], <Marjorie-Harceleur>, cest pas des forme c de la graisse,bully,victim,yes,degradation,no
[2:49:30 PM], <Soan-Soutien-Victime>, Mais en tout cas tu casses autre chose LUcie...,victim_support,bully,no,none,no
[2:49:31 PM], <Lucie-Harceleur>, c'est clair,bully,none,no,none,no
[2:49:33 PM], <Natacha-Soutien-Harceleur>, ayaaaa sa tire a balle reel iciiiii,bully_support,none,no,none,no
[2:49:42 PM], <Zoé-Victime>, je prefere casser la balance ,victim,none,no,none,no
[2:49:44 PM], <Soan-Soutien-Victime>, ferme la marjorie t'es  qu'une poufiasse sans cervelle,victim_support,bully,yes,degradation,no
[2:49:46 PM], <Axelle-Soutien-Victime>, bah au moins elle est pas plate comme vous bande de conne,victim_support,bully/bully_support,yes,degradation,no
[2:49:59 PM], <Lucie-Harceleur>, ah ben ca elle a que de la graisse en meme temps ,bully,victim,yes,degradation,no
[2:50:15 PM], <Natacha-Soutien-Harceleur>, ON EST TRES BIEN FORMER,bully_support,none,no,none,no
[2:50:25 PM], <Lucie-Harceleur>, ca fait des montagne de cellulite,bully,victim,yes,degradation,no
[2:50:29 PM], <Marjorie-Harceleur>, toi tu ressemble a un anus perimé ,bully,victim_support,yes,name_calling,no
[2:50:34 PM], <Natacha-Soutien-Harceleur>, C JUSTE ON EST PAS GROSEE PETASSE,bully_support,victim_support,yes,name_calling,no
[2:50:39 PM], <Zoé-Victime>, mon physique est peut etre pas parfait mais au moins je suis pas une connasse comme vous,victim,bully/bully_support,yes,name_calling,no
[2:50:50 PM], <Soan-Soutien-Victime>, bien ditt C'est beaucoup plus beau une fille avec des formes et des kilos en trop qu'une personne plate qui ressemble a une planche a pain bande de pute,victim_support,bully/bully_support,yes,name_calling,no
[2:51:09 PM], <Lucie-Harceleur>, je suis fiere d'etre une connassse,bully,none,no,none,no
[2:51:14 PM], <Soan-Soutien-Victime>, totalement raison Zoé,victim_support,victim,no,none,no
[2:51:16 PM], <Axelle-Soutien-Victime>, au moins elle reussira sa vie plutot qu'etre conne comme vous,victim_support,bully/bully_support,no,degradation,no
[2:51:24 PM], <Soan-Soutien-Victime>, ben  tu fera pas long feu dans ta viie,victim_support,bully,no,none,no
[2:51:33 PM], <Zoé-Victime>, ouais elles vont finir à faire la manche avec leur cerveau,victim,bully/bully_support,no,degradation,no
