,,,role,target,hate_speech,verbal_abuse,humor
[2019-06-13 16:07:20], <Lisa_soutienH>, ssale pute  tu vend meme pas ton corps taime ca ,bully_support,victim,yes,denigration,no
[2019-06-13 16:07:21], <Sophie_Harceleur>, Silvia t'es pire qu'une pute,bully,victim,yes,denigration,no
[2019-06-13 16:07:22], <Silvia_Victime>, mais ta gueule putain tu boites tellement tu te fais défoncer,victim,bully,yes,denigration,no
[2019-06-13 16:07:27], <michel_soutienv>, demandez a lucas,victim_support,none,no,none,no
[2019-06-13 16:07:31], <Sophie_Harceleur>, tu suis le chemin de ta mère là,bully,victim,yes,denigration,no
[2019-06-13 16:07:40], <Silvia_Victime>, Et toi Sohpie tu es bien conne de croire tout ce qu'on te raconte,victim,bully,yes,name_calling,no
[2019-06-13 16:07:49], <Herbert_Concilia>, Calmez-vous,conciliator,none,no,none,no
[2019-06-13 16:07:54], <Adrien_soutienh>, Tu veux voir la photo,bully_support,none,no,none,no
[2019-06-13 16:07:55], <Silvia_Victime>, Lucas il te le dira,victim,none,no,none,no
[2019-06-13 16:08:00], <Herbert_Concilia>, C'est normal qu'elle s'enerve,conciliator,none,no,none,no
[2019-06-13 16:08:04], <Silvia_Victime>, putain tu fais plus confiance à Adrien qu'à ton mec,victim,none,no,none,no
[2019-06-13 16:08:11], <michel_soutienv>, alors parle lui avant de croire adrien ce con,victim_support,bully,yes,name_calling,no
[2019-06-13 16:08:11], <Sophie_Harceleur>, déjà m'interpelle même pas on est pas pote,bully,victim,yes,threat,no
[2019-06-13 16:08:12], <Lisa_soutienH>, mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,bully_support,victim,yes,none,yes
[2019-06-13 16:08:14], <Silvia_Victime>, quelle photo povr merde,victim,bully_support,yes,name_calling,no
[2019-06-13 16:08:23], <Adrien_soutienh>, Logique je suis exceptionnel,bully_support,none,no,none,no
[2019-06-13 16:08:25], <Silvia_Victime>, tu piques mes répliques Lisa?,victim,none,no,none,no
[2019-06-13 16:08:28], <Silvia_Victime>, teubé va,victim,bully_support,yes,name_calling,no
[2019-06-13 16:08:34], <michel_soutienv>, mais quelle merde,victim_support,bully_support,yes,name_calling,no
[2019-06-13 16:08:40], <Sophie_Harceleur>, laisse Lisa trql ,bully,none,no,none,no
[2019-06-13 16:08:45], <Adrien_soutienh>, La triz qui traite les autres de teube,victim_support,victim,yes,denigration,no
[2019-06-13 16:08:49], <Silvia_Victime>, Donc tu es plus exceptionnel que son mec?,victim,none,no,none,no
[2019-06-13 16:08:52], <Sophie_Harceleur>, t'as rien à dire sous merde,bully,victim,yes,name_calling,no
[2019-06-13 16:08:54], <Silvia_Victime>, t'avoues du coup?,victim,none,no,none,no
[2019-06-13 16:08:58], <Silvia_Victime>, tu veux la pécho,victim,none,no,none,no
[2019-06-13 16:09:08], <Silvia_Victime>, je suis en train de te parler débile,victim,bully_support,yes,name_calling,no
[2019-06-13 16:09:30], <Adrien_soutienh>, C estpas moi le sujet,bully_support,none,no,none,no
[2019-06-13 16:09:43], <Silvia_Victime>, c'est bon tu viens de comprendre qu'Adrien veut ju_ste te baiser Sophie?,victim,none,no,none,no
[2019-06-13 16:09:43], <michel_soutienv>, fait chier de parler de lucas alors quil est pas la faites pas chier appelez le,victim_support,none,no,none,no
[2019-06-13 16:09:48], <Silvia_Victime>, Il mytho de ouf,victim,none,no,none,no
[2019-06-13 16:09:52], <Herbert_Concilia>, Bon Adrien si c'est un prank c'est pas drole,conciliator,none,no,none,no
[2019-06-13 16:09:57], <Sophie_Harceleur>, je vaisme ramener chez moi devant ta famille tu vas voir,bully,none,no,threat,no
[2019-06-13 16:10:08], <Silvia_Victime>, Appelle le Adrien vazi,victim,none,no,none,no
[2019-06-13 16:10:10], <Adrien_soutienh>, Mais herbert tu t es cru sur youtube,bully_support,none,no,none,no
[2019-06-13 16:10:12], <Sophie_Harceleur>, au lycée t'auras même plus de pote ,bully,none,no,threat,no
[2019-06-13 16:10:14], <michel_soutienv>, bah allez sophie,victim_support,none,no,none,no
[2019-06-13 16:10:19], <michel_soutienv>, appelle le pour voir,victim_support,none,no,none,no
[2019-06-13 16:10:23], <Sophie_Harceleur>, tu vas voir quand tu sortiras des vestiaires ,bully,none,no,threat,no
[2019-06-13 16:10:27], <Silvia_Victime>, Mais putain tu fais plus confiance à Adri qu'à ton mec?,victim,none,no,none,no
[2019-06-13 16:10:32], <Silvia_Victime>, tu fais pitié sérieux,victim,bully,yes,denigration,no
[2019-06-13 16:10:33], <Sophie_Harceleur>, habille toi vite grosse p***,bully,victim,yes,name_calling,no
[2019-06-13 16:10:43], <Silvia_Victime>, moi j'en ai rien à foutre de ton débile de gros laid,victim,bully,yes,denigration,no
[2019-06-13 16:10:51], <Sophie_Harceleur>, ah mais nan c'est vrai t'aimes te faire péter le cul j'avais oublié,bully,victim,yes,denigration,no
[2019-06-13 16:10:55], <Silvia_Victime>, putain je peux me faire dix mille fois mieux que lui,victim,none,no,none,no
[2019-06-13 16:10:56], <Lisa_soutienH>, ouais mais cherche pas a comprendre pk ca se fait pas,bully_support,none,no,none,no
[2019-06-13 16:10:57], <Adrien_soutienh>, Alors pk tu le suce tous les soir,bully_support,none,no,none,no
[2019-06-13 16:10:57], <Herbert_Concilia>, nan mais c'est vous là... Adrien dit un truc et tout le monde se met dessus,conciliator,none,no,none,no
[2019-06-13 16:11:17], <Silvia_Victime>, Mais putain Adrien mythonne,victim,none,no,none,no
[2019-06-13 16:11:21], <Silvia_Victime>, 🤣,victim,none,no,none,no
[2019-06-13 16:11:28], <Silvia_Victime>, Sophie tu me fais pitié,victim,none,no,denigration,no
[2019-06-13 16:11:29], <Sophie_Harceleur>, mdrr tu l'aurais pas embrassé si c'était qu'un débile ,bully,none,no,none,no
[2019-06-13 16:11:33], <michel_soutienv>,   taimerai biezn etre suce hein adri tes bien seul ,victim_support,bully_support,yes,denigration,no
[2019-06-13 16:11:35], <Lisa_soutienH>, tres long a taper,bully_support,none,no,none,no
[2019-06-13 16:11:37], <Adrien_soutienh>, Tu trouve ca drole en plus,bully_support,none,no,none,no
[2019-06-13 16:11:58], <Silvia_Victime>, Je l'ai pas embrassé,victim,none,no,none,no
[2019-06-13 16:12:01], <Silvia_Victime>, putain t vmt conne,victim,bully_support,yes,name_calling,no
[2019-06-13 16:12:04], <Lisa_soutienH>, mais oui biensur,bully_support,none,no,none,no
[2019-06-13 16:12:04], <Adrien_soutienh>, t es un vrai sac  à foutre,bully_support,victim,yes,denigration,no
[2019-06-13 16:12:07], <Sophie_Harceleur>, silvia tg on a des preuvesx et destémoins,bully,none,no,name_calling,no
[2019-06-13 16:12:13], <Silvia_Victime>, olalala insulte volée à ta mère,victim,bully_support,yes,denigration,no
[2019-06-13 16:12:16], <michel_soutienv>, adiren comme preuve lol,victim_support,none,no,none,no
[2019-06-13 16:12:22], <Silvia_Victime>, mais quelles preuves putain?!,victim,none,no,none,no
[2019-06-13 16:12:24], <Herbert_Concilia>, On a UN temoin,conciliator,none,no,none,no
[2019-06-13 16:12:28], <Silvia_Victime>, Adrien qui veut te tringler,victim,none,no,none,no
[2019-06-13 16:12:28], <Herbert_Concilia>, pas tres fiable,conciliator,none,no,none,no
[2019-06-13 16:12:32], <Silvia_Victime>, c'est lui la preuve?,victim,none,no,none,no
[2019-06-13 16:12:43], <Sophie_Harceleur>, ptn mais t'es né d'un gangbang ou quoi,bully,victim,yes,denigration,no
[2019-06-13 16:12:46], <Sophie_Harceleur>, ptn de triso,bully,victim,yes,denigration,no
[2019-06-13 16:12:48], <michel_soutienv>, tu fais pitie sophie  si ton mec te veux plus bah tu degage ,victim_support,bully,yes,denigration,no
[2019-06-13 16:12:50], <Silvia_Victime>, putain heureusement que t'es pas jury d'un procès pour meurtre,victim,none,no,none,no
[2019-06-13 16:12:50], <Axelle_Defenseur>, Une personne c'est archi pas une preuve,,none,no,none,no
[2019-06-13 16:12:59], <Silvia_Victime>, vu ton esprit de déduction merdique Sophie,victim,bully,yes,denigration,no
[2019-06-13 16:13:00], <Adrien_soutienh>, On est deux en ft,bully_support,none,no,none,no
[2019-06-13 16:13:02], <Sophie_Harceleur>, mais michel frere tas vu ton prénom pour commenc&é,bully,victim_support,yes,denigration,no
[2019-06-13 16:13:05], <Adrien_soutienh>, Hein lisa,bully_support,none,no,none,no
[2019-06-13 16:13:08], <Silvia_Victime>, Deux qui pauivre merde?,victim,bully_support,yes,name_calling,no
[2019-06-13 16:13:09], <Lisa_soutienH>, jai la preuvve !!!,bully_support,none,no,none,no
[2019-06-13 16:13:18], <Silvia_Victime>, Mais Lisa t'étais mm pas au voyage,victim,none,no,none,no
[2019-06-13 16:13:21], <michel_soutienv>, sophie saute des fiilees ,victim_support,none,no,none,no
[2019-06-13 16:13:25], <Silvia_Victime>, de où tu as la preuve?,victim,none,no,none,no
[2019-06-13 16:13:28], <Lisa_soutienH>, voila !!!,bully_support,none,no,none,no
[2019-06-13 16:13:36], <Lisa_soutienH>, tu comprends sale pute ,bully_support,victim,yes,name_calling,no
[2019-06-13 16:13:40], <Silvia_Victime>, Je suis mm pas rousse putain,victim,none,no,none,no
[2019-06-13 16:13:44], <Silvia_Victime>, tu ml'as photoshopée,victim,none,no,none,no
[2019-06-13 16:13:46], <Lisa_soutienH>, on ta pris en photo,bully_support,none,no,none,no
[2019-06-13 16:13:53], <Sophie_Harceleur>, ftg sophia ,bully,none,yes,name_calling,no
[2019-06-13 16:13:56], <Sophie_Harceleur>, jvais te faire la guerre,bully,none,yes,threat,no
[2019-06-13 16:14:11], <Silvia_Victime>, Mais c'est qui Sophia stp?,victim,none,no,none,no
[2019-06-13 16:14:16], <michel_soutienv>, la guerre elle est deja la ,victim_support,none,no,none,no
[2019-06-13 16:14:18], <Silvia_Victime>, 😂,victim,none,no,none,no
[2019-06-13 16:14:35], <Sophie_Harceleur>, antipolis ,bully,none,no,none,no
[2019-06-13 16:14:36], <Lisa_soutienH>, cest pas une guerre c'est une execution,bully_support,none,no,none,no
[2019-06-13 16:14:38], <Silvia_Victime>, Et ton mec il dit quoi de ça?,victim,none,no,none,no
[2019-06-13 16:14:39], <Sophie_Harceleur>, (allez salut),bully,none,no,none,no
[2019-06-13 16:14:40], <michel_soutienv>, quel photoshop de fou,victim_support,none,no,none,yes
[2019-06-13 16:14:50], <Silvia_Victime>, il a de l'avenir,victim,none,no,none,yes
[2019-06-13 16:15:08], <Adrien_soutienh>, plus que toi en tant que pute,bully_support,victim,yes,denigration,no
[2019-06-13 16:15:13], <Sophie_Harceleur>, jvais te soulever,bully,victim,yes,threat,no
[2019-06-13 16:15:16], <Silvia_Victime>, plus que toi en tant que chien de Sophie,victim,bully_support,yes,denigration,no
[2019-06-13 16:15:17], <Sophie_Harceleur>, continue comme ça,bully,none,no,threat,no
[2019-06-13 16:15:20], <michel_soutienv>, javoue lisa ty a pense cest meiux que sucer nempeche ca paye pas bien,victim_support,none,no,none,no
[2019-06-13 16:15:23], <Sophie_Harceleur>, ça se voit tu me connais pas,bully,none,no,none,no
[2019-06-13 16:15:33], <Silvia_Victime>, Sophie tu devrais t'occuper d'Adrien il en peut plus d'agiter la queue$,victim,none,no,none,no
[2019-06-13 16:15:35], <Sophie_Harceleur>, des filles comme toi j'en ai connu plus d'une,bully,none,no,none,no
[2019-06-13 16:15:43], <Silvia_Victime>, et tu les a mangées?,victim,none,no,none,no
[2019-06-13 16:15:47], <michel_soutienv>, dans le loit ou?,victim_support,none,no,none,no
[2019-06-13 16:15:49], <Sophie_Harceleur>, elles sont toutes dans un cercueil mtn on sdemande pq,bully,none,no,threat,no
[2019-06-13 16:15:51], <Silvia_Victime>, 🐕,victim,none,no,none,no
[2019-06-13 16:15:56], <Lisa_soutienH>, bah taime ca non silvia ?,bully_support,none,no,none,no
[2019-06-13 16:15:58], <Adrien_soutienh>, Sylvia demain je te balaye en au  des marches,bully_support,none,no,threat,no
[2019-06-13 16:16:16], <michel_soutienv>, demain lucas va peter un cable ,victim_support,none,no,none,no
[2019-06-13 16:16:19], <Silvia_Victime>, Sohpie fais qqch là,victim,none,no,none,no
[2019-06-13 16:16:21], <Lisa_soutienH>, nempeche ca se fait pas  digne d'une pute,bully_support,victim,yes,denigration,no
[2019-06-13 16:16:27], <Silvia_Victime>, il devient agressif tellement il est en manque,victim,none,no,none,no
[2019-06-13 16:16:28], <Sophie_Harceleur>, silvia t'es morte.,bully,victim,yes,threat,no
[2019-06-13 16:16:40], <Silvia_Victime>, Mais d'où je suis morte stp,victim,none,no,none,no
[2019-06-13 16:16:48], <Silvia_Victime>, déjà faudrait que tu roules jusqu'à moi,victim,bully,yes,denigration,no
[2019-06-13 16:16:55], <Sophie_Harceleur>, regarde par la fenêtre ya adrien ,bully,none,no,none,no
[2019-06-13 16:16:55], <Silvia_Victime>, que tu arrives à m'attraper,victim,none,no,none,no
[2019-06-13 16:17:01], <Silvia_Victime>, et qu'ensuite tu me tues,victim,none,no,none,no
[2019-06-13 16:17:11], <Silvia_Victime>, il y a pas de fenêtre là où je suis,victim,none,no,none,no
[2019-06-13 16:17:12], <Adrien_soutienh>, JE VAIS TE BRISER TES OS BOIRE TON SANG SALOPE,bully_support,victim,yes,threat,no
[2019-06-13 16:17:21], <michel_soutienv>, adrien c est pas grave on est tous passe par la maiis si tu mytho cest un vrai coup de  pute,victim_support,none,no,none,no
[2019-06-13 16:17:24], <Silvia_Victime>, en plus d'être en manque tu es un vampire?,victim,none,no,none,no
[2019-06-13 16:17:27], <Lisa_soutienH>, bah avec le sida c sur tu va crever vite silvia ??,bully_support,victim,yes,denigration,no
[2019-06-13 16:17:32], <Sophie_Harceleur>, qestu parles grosse folle c'est toi l'obèse donc c'est toi qui roule,bully,victim,yes,denigration,no
[2019-06-13 16:17:35], <Silvia_Victime>, Faut arrêter mon vieux Twilight c'est has been,victim,none,no,none,no
[2019-06-13 16:17:41], <Lisa_soutienH>, bah avec le sida c sur tu va crever vite silvia ??,bully_support,victim,yes,denigration,no
[2019-06-13 16:17:55], <Lisa_soutienH>, woow tu fait meme beuger la co ,bully_support,victim,yes,denigration,no
[2019-06-13 16:17:59], <Silvia_Victime>, Techniquement le sac à MST c'est pas moi...,victim,none,yes,denigration,no
[2019-06-13 16:18:00], <Lisa_soutienH>, t douer toi ,bully_support,none,no,none,no
[2019-06-13 16:18:07], <Sophie_Harceleur>, mais lisa laisse tomber la meuf c'est SIDA ebola tétanos tt ce que tu veux,bully,victim,yes,denigration,no
[2019-06-13 16:18:09], <Silvia_Victime>, 🤣,victim,none,no,none,no
[2019-06-13 16:18:16], <Lisa_soutienH>, carement ,bully_support,none,no,none,no
[2019-06-13 16:18:18], <Silvia_Victime>, tu vas faire médecine toi pas vrai?,victim,none,no,none,yes
[2019-06-13 16:18:23], <Silvia_Victime>, tu en connais des maladies...,victim,none,no,none,yes
[2019-06-13 16:18:24], <Adrien_soutienh>, Rigole demain tu pourras plius,bully_support,none,no,threat,no
[2019-06-13 16:18:28], <Sophie_Harceleur>, dans ta chatte ya 3-4 gangs de mst questu parles,bully,victim,yes,denigration,no
[2019-06-13 16:18:36], <Lisa_soutienH>, pas besoin pour savoir que ta tt les mst de la tere,bully_support,victim,yes,denigration,no
[2019-06-13 16:18:37], <Silvia_Victime>, toi tu peux déjà plus vu l'état de tes vieilles dents,victim,bully,yes,denigration,no
[2019-06-13 16:18:40], <Adrien_soutienh>, Je vais te defigurer ,bully_support,victim,yes,threat,no
[2019-06-13 16:18:53], <Silvia_Victime>, hahahaha Mais sérieux Sophie tu as pas mieux?,victim,none,no,none,yes
[2019-06-13 16:18:54], <Lisa_soutienH>, c deja fait ,bully_support,none,no,none,no
[2019-06-13 16:18:56], <Silvia_Victime>, C'est du vu et revu,victim,none,no,none,no
[2019-06-13 16:18:59], <Herbert_Concilia>, Arretez de vous insulter la... vous dites tellement d'insultes debiles par minute qu'on n'arrive meme pas a suivre et en plus ca nous fait pas avancer... on tourne en rond depuis tout a l'heure srx...,conciliator,none,no,none,no
[2019-06-13 16:19:05], <Silvia_Victime>, tu es pas capable d'inventer tes propres trucs?,victim,none,no,none,no
[2019-06-13 16:19:12], <Sophie_Harceleur>, jvais te peter les fchevilles t'entends,bully,victim,yes,threat,no
[2019-06-13 16:19:14], <Silvia_Victime>, Je résume:,victim,none,no,none,no
[2019-06-13 16:19:19], <Silvia_Victime>, Adrien veut se taper Sophiue,victim,none,no,none,no
[2019-06-13 16:19:25], <Silvia_Victime>, Il raconte des mytho,victim,none,no,none,no
[2019-06-13 16:19:26], <Sophie_Harceleur>, JE RESUME,bully,none,no,none,no
