,Unnamed: 0,Unnamed: 1,text,role,target,hate_speech,verbal_abuse,humor
59,[2:48:49 PM], <Soan-Soutien-Victime>, elle au moin elle est pas conne comme vous bande de poufiasse,victim_support,bully/bully_support,no,name_calling,no
60,[2:48:50 PM], <Natacha-Soutien-Harceleur>, jte fou un coup avec mes seins tu verras,bully_support,bully,no,threat,yes
61,[2:48:50 PM], <Marjorie-Harceleur>, va retourner manger macdo avec tes 3 menu signature,bully,victim,no,denigration,no
62,[2:49:02 PM], <Lucie-Harceleur>, ma pauvre moi je casse pas la balance ,bully,victim,no,denigration,yes
63,[2:49:19 PM], <Marjorie-Harceleur>, cest pas des forme c de la graisse,bully,victim,no,denigration,no
64,[2:49:30 PM], <Soan-Soutien-Victime>, Mais en tout cas tu casses autre chose LUcie...,victim_support,none,no,none,no
65,[2:49:31 PM], <Lucie-Harceleur>, c'est clair,bully,none,no,none,no
66,[2:49:33 PM], <Natacha-Soutien-Harceleur>, ayaaaa sa tire a balle reel iciiiii,bully_support,none,no,none,no
67,[2:49:42 PM], <Zoé-Victime>, je prefere casser la balance ,victim,none,no,none,no
68,[2:49:44 PM], <Soan-Soutien-Victime>, ferme la marjorie t'es  qu'une poufiasse sans cervelle,victim_support,bully,no,denigration,no
69,[2:49:46 PM], <Axelle-Soutien-Victime>, bah au moins elle est pas plate comme vous bande de conne,victim_support,bully/bully_support,no,denigration,no
70,[2:49:59 PM], <Lucie-Harceleur>, ah ben ca elle a que de la graisse en meme temps ,bully,victim,no,denigration,no
71,[2:50:15 PM], <Natacha-Soutien-Harceleur>, ON EST TRES BIEN FORMER,bully_support,none,no,none,no
72,[2:50:25 PM], <Lucie-Harceleur>, ca fait des montagne de cellulite,bully,victim,no,denigration,no
73,[2:50:29 PM], <Marjorie-Harceleur>, toi tu ressemble a un anus perimé ,bully,victim_support,no,denigration,no
74,[2:50:34 PM], <Natacha-Soutien-Harceleur>, C JUSTE ON EST PAS GROSEE PETASSE,bully_support,victim_support,no,name_calling,no
75,[2:50:39 PM], <Zoé-Victime>, mon physique est peut etre pas parfait mais au moins je suis pas une connasse comme vous,victim,bully/bully_support,no,name_calling,no
76,[2:50:50 PM], <Soan-Soutien-Victime>, bien ditt C'est beaucoup plus beau une fille avec des formes et des kilos en trop qu'une personne plate qui ressemble a une planche a pain bande de pute,victim_support,bully/bully_support,no,denigration,no
77,[2:51:09 PM], <Lucie-Harceleur>, je suis fiere d'etre une connassse,bully,none,no,none,yes
78,[2:51:14 PM], <Soan-Soutien-Victime>, totalement raison Zoé,victim_support,none,no,none,no
79,[2:51:16 PM], <Axelle-Soutien-Victime>, au moins elle reussira sa vie plutot qu'etre conne comme vous,victim_support,bully/bully_support,no,denigration,no
80,[2:51:24 PM], <Soan-Soutien-Victime>, ben  tu fera pas long feu dans ta viie,victim_support,none,no,none,no
81,[2:51:33 PM], <Zoé-Victime>, ouais elles vont finir à faire la manche avec leur cerveau,victim,bully/bully_support,no,denigration,no
